"","UMAP_1","UMAP_2"
"N402Barcode_703.502",3.21523534697232,-0.278756562422013
"N402Barcode_721.517",-1.33691832977595,1.58403330688646
"N402Barcode_715.520",3.56131299030719,0.557151135255599
"N402Barcode_711.508",3.90190645497976,0.833473976899886
"N402Barcode_701.516",1.31850578826604,-1.13963812942336
"N402Barcode_716.505",-3.22652718979182,1.70167475586107
"N402Barcode_707.508",0.555146480023244,2.30321102981737
"N402Barcode_727.508",0.452888274609425,0.553707417299056
"N402Barcode_702.516",-0.636506056368968,-2.5143033897383
"N402Barcode_727.520",-1.18264768081965,-2.85731262321303
"N402Barcode_718.511",0.651895070492604,2.5180976951616
"N402Barcode_727.502",-2.36846635299983,1.81448965912034
"N402Barcode_727.515",-0.971996759951732,-1.91248673553298
"N402Barcode_720.508",-2.88723323303523,0.531087693025374
"N402Barcode_707.507",-2.14700458008113,-1.39397830123732
"N402Barcode_703.508",-2.61487576919856,-1.80538338775466
"N402Barcode_723.518",-0.49712774711909,-1.10901016349623
"N402Barcode_702.503",0.519304776608327,1.34717684631517
"N402Barcode_727.510",3.82824462097821,-0.664158288191056
"N402Barcode_703.518",0.563099408566334,0.586804207612777
"N402Barcode_712.522",-0.917052244723461,-1.30668610687087
"N402Barcode_704.507",2.48195376437841,0.62365799789598
"N402Barcode_712.510",3.29147795778451,0.498285588075423
"N402Barcode_718.508",3.75013347905813,-0.820316258619523
"N402Barcode_726.518",0.135670924603322,-2.68524462337325
"N402Barcode_702.521",-2.50159881073298,2.43970709686449
"N402Barcode_704.502",-1.94898841339411,-1.71169704551528
"N402Barcode_715.505",-1.35008475738826,1.74693899994066
"N402Barcode_718.502",-1.2556690927154,-2.13966423625777
"N402Barcode_715.521",3.18348866146741,-0.96476596946547
"N402Barcode_701.520",3.41600306522784,-0.45612043495009
"N402Barcode_710.513",2.90960880559621,-0.759763184736467
"N402Barcode_711.520",3.67161644440828,-0.508552018354631
"N402Barcode_726.505",-0.327565407336376,-2.00320381278822
"N402Barcode_705.513",-2.85163161712947,-1.26130956764052
"N402Barcode_723.517",-0.435174917758129,-0.161598864744401
"N402Barcode_722.506",0.656992936550953,2.14158421402147
"N402Barcode_716.516",-0.376927351534984,-2.34504348392317
"N402Barcode_706.515",-0.881766771853588,-1.78002399558852
"N402Barcode_728.506",-1.33124062973323,2.51337700729539
"N402Barcode_724.511",-3.13462350326838,-1.90186542625258
"N402Barcode_702.513",-2.72155234772029,2.34289675598314
"N402Barcode_727.503",-1.68396661239924,-2.23186082000563
"N402Barcode_724.513",-2.50604293304744,-0.728103343198991
"N402Barcode_712.516",-2.99002263504328,-0.776799384306169
"N402Barcode_719.522",4.00381418508229,0.234120663453841
"N402Barcode_715.502",-2.3130855317718,2.22204047088792
"N402Barcode_705.503",-1.72569510895076,-0.797840777586198
"N402Barcode_716.513",-2.46344277817073,-2.11927515621016
"N402Barcode_706.517",-1.41371295410456,-2.41295570487807
"N402Barcode_722.507",-0.066997742236278,2.59748297577074
"N402Barcode_718.505",1.56569030326543,1.23647528534105
"N402Barcode_727.516",2.91157766622243,0.270045574952865
"N402Barcode_726.520",1.92173054259954,-1.01519245261977
"N402Barcode_701.513",-2.09850690323176,0.141609009553695
"N402Barcode_723.515",-2.4093785043365,-1.61361164207289
"N402Barcode_715.506",3.39270742428241,0.702100571443343
"N402Barcode_704.503",-1.38024852234187,-1.12820595855544
"N402Barcode_724.522",3.58025583070455,0.962893303682113
"N402Barcode_715.522",-1.32209870773616,-2.50273567790816
"N402Barcode_716.520",2.60224094432531,1.10641699676683
"N402Barcode_714.511",-1.83332822281184,1.81077223663499
"N402Barcode_702.518",1.72240986865697,-1.00765008086989
"N402Barcode_704.505",-1.24816319900813,1.30537396316698
"N402Barcode_719.502",-1.72270581680598,3.09785538559129
"N402Barcode_722.508",1.06970455688176,2.05954438095262
"N402Barcode_714.522",0.362676167904713,-2.77288431281874
"N402Barcode_722.521",-1.22396419006648,-0.215212765882707
"N402Barcode_724.503",0.072960400997975,1.67041808014085
"N402Barcode_703.505",-1.76507756668391,2.41386252288988
"N402Barcode_702.517",0.0990884546631361,2.36509447937181
"N402Barcode_719.518",3.87425746959386,0.656162079622054
"N402Barcode_726.502",-2.51488587814631,-0.113333884428239
"N402Barcode_726.508",-1.88607833343806,1.35855704193284
"N402Barcode_721.507",-2.16972110229792,1.26462679748704
"N402Barcode_726.516",1.17535092872319,1.54701310043504
"N402Barcode_703.517",-2.22396800476374,2.70427256469896
"N402Barcode_722.511",3.5621681306952,0.0961020553605794
"N402Barcode_706.518",-1.73377606827082,1.02081900482347
"N402Barcode_726.515",-2.17880675751033,-0.939661685178971
"N402Barcode_704.521",-2.39819571930232,-0.725119534681535
"N402Barcode_714.521",-0.244559502185008,0.368603047181868
"N402Barcode_727.518",-0.106673693240306,-1.78754967803786
"N402Barcode_705.515",-0.843032812655589,-0.487266246031022
"N402Barcode_720.511",2.95038756173787,0.889952954103255
"N402Barcode_719.515",1.99854114097295,0.0986111724870442
"N402Barcode_710.502",-0.201832747042797,-1.54537695998976
"N402Barcode_724.521",2.64449265044866,-0.508717719267106
"N402Barcode_706.502",0.426594520031788,-1.20521825904677
"N402Barcode_723.510",0.904461169659474,0.609428223420882
"N402Barcode_702.522",4.05043669980703,-0.364618722151017
"N402Barcode_718.521",3.11517780464826,1.28134041671922
"N402Barcode_702.502",-0.682581400454662,-1.4343666469557
"N402Barcode_703.506",1.78029801887212,-0.603402796934343
"N402Barcode_706.508",-1.59941146332087,2.10484438781908
"N402Barcode_703.521",2.28520312350927,0.302285488893294
"N402Barcode_721.505",-2.81230447250666,-2.2566346561415
"N402Barcode_727.513",-0.489820932925365,2.41904908065965
"N402Barcode_726.506",-0.433825945437572,-1.70368951911757
"N402Barcode_721.520",-3.08921143966975,-2.42781204337904
"N402Barcode_729.513",-1.43695304352107,1.59028368835618
"N402Barcode_720.502",1.75812926334081,-1.16008109206984
"N402Barcode_707.513",1.31231024306951,0.4209149444597
"N402Barcode_723.506",0.179642224728444,-0.814709130476213
"N402Barcode_706.513",-2.56212756592097,2.00815802459886
"N402Barcode_712.507",-1.084145521701,2.40539341812303
"N402Barcode_714.513",2.92899748128591,-0.177337590406633
"N402Barcode_704.518",2.51423307698903,-1.11650795097182
"N402Barcode_707.522",-2.83813807922663,-2.26052743549178
"N402Barcode_715.516",-1.80588767486872,-0.371147576521135
"N402Barcode_721.522",0.0698585752838636,-2.72253090495894
"N402Barcode_722.502",-0.776737188876293,-2.14757889861891
"N402Barcode_703.515",0.863504434048512,1.25109511261156
"N402Barcode_724.516",-1.70119569259944,-1.36413735503981
"N402Barcode_715.517",2.37854554694829,-0.410381261060929
"N402Barcode_711.507",-0.638777708590648,0.601692971040511
"N402Barcode_723.520",0.629236483990529,1.19773608093431
"N402Barcode_710.507",0.601241136013844,-2.74348444099257
"N402Barcode_710.503",0.737447047650197,1.90034943466356
"N402Barcode_701.521",-0.176649069369457,-3.02890700454543
"N402Barcode_711.510",3.54039604407487,-0.573802176664567
"N402Barcode_718.503",2.72419979613958,-1.34332341308424
"N402Barcode_706.506",3.53261036243973,0.615708645631575
"N402Barcode_718.516",-1.33311412292781,-0.946099702070451
"N402Barcode_714.503",-2.36809966522517,0.977109726716781
"N402Barcode_707.511",-0.458092426837108,-2.19967276210616
"N402Barcode_728.502",2.78920968812642,0.759743984987044
"N402Barcode_714.505",-2.09711406189265,1.32264691238573
"N402Barcode_728.515",0.683271909176686,2.29603606109788
"N402Barcode_704.508",0.315020347058156,-2.93403524513075
"N402Barcode_719.516",-1.64536616760554,0.449655350496077
"N402Barcode_722.510",1.764886641919,-2.19391626472304
"N402Barcode_710.505",2.43932154220281,-1.26610845680068
"N402Barcode_710.515",3.16328963082967,-1.51826471443007
"N402Barcode_722.518",1.30798914474187,-0.50413650626967
"N402Barcode_723.507",-1.94246861893,2.97548704986742
"N402Barcode_705.518",-1.76136825043025,2.7147849166887
"N402Barcode_719.510",4.04291560691533,-0.281775180052018
"N402Barcode_714.508",3.63494394165216,1.36910277252367
"N402Barcode_706.510",-2.06280991989436,-1.10548586005995
